No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#210,112,King Gold Collection,4.6,King Ruby Orange,0.2,King Ruby Orange,0.2,King Ruby Orange,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#205,117,King Gold Collection,4.6,King Ruby  Blue,0.2,King Ruby  Blue,0.2,King Ruby  Blue,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#218,104,King Gold Collection,4.6,King Ruby  Rosewood,0.2,King Ruby  Rosewood,0.2,King Ruby  Rosewood,0.2,Gold Plate,14.6,Gold Plate,14.6,Gold Leather,4.6,5.57142857
#76,97,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Red,1.4,Rough Diamond Red,1.4,Bronze Plate,10,Bronze Plate,10,Pink Red Soft Tie Dye,0.6,5.54285714
#91,95,Bronze Diamond Collection,10,Rough Diamond Aqua,3.6,Rough Diamond Peach,1.6,Rough Diamond Peach,1.6,Bronze Plate,10,Bronze Plate,10,Aqua White Soft Tie Dye,2,5.54285714
#90,96,Bronze Diamond Collection,10,Rough Diamond Aqua,3.6,Rough Diamond Rosewood,1.6,Rough Diamond Rosewood,1.6,Bronze Plate,10,Bronze Plate,10,Aqua White Soft Tie Dye,2,5.54285714
#89,90,Bronze Diamond Collection,10,Rough Diamond Aqua,3.6,Rough Diamond Sienna,1.4,Rough Diamond Sienna,1.4,Bronze Plate,10,Bronze Plate,10,Aqua White Soft Tie Dye,2,5.48571429
#82,91,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond Teal,1.2,Rough Diamond Teal,1.2,Bronze Plate,10,Bronze Plate,10,Pink Teal Soft Tie Dye,0.6,5.48571429
#2,94,Original Ring Collection,10.2,Rough Diamond Yellow,3.6,Rough Diamond Yellow,1.8,Rough Diamond Yellow,1.8,Silver Plate,10.2,Silver Plate,10.2,Soft Yellow Tie Dye,0.6,5.48571429
#80,92,Bronze Diamond Collection,10,Rough Diamond Pink,5.4,Rough Diamond White,1.2,Rough Diamond White,1.2,Bronze Plate,10,Bronze Plate,10,Pink White Soft Tie Dye,0.6,5.48571429
