No,Rank,Ring Name,Percentage,Stone,Percentage 2,Middle Little Stone,Percentage 3,Side Stone,Percentage 4,Shank,Percentage 5,Gem Holder,Percentage 6,Background,Percentage 7,Total
#359,358,Alien Collection,7.4,Alien Stone Teal,0.4,Alien Stone Teal,0.4,Alien Stone Teal,0.4,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.8
#456,349,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone White,2,Alien Stone White,2,Pink Light Plat,1.4,Pink Light Plat,1.4,Space Studio,59.2,11.77142857
#441,348,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stone Red,2.2,Alien Stone Red,2.2,Yellow Light Plat,1.2,Yellow Light Plat,1,Space Studio,59.2,11.74285714
#388,343,Alien Collection,7.4,Alien Stone White Purple Red,0.2,Alien Stone White Purple Red,0.2,Alien Stone White Purple Red,0.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.71428571
#385,346,Alien Collection,7.4,Alien Stone Aqua Red Orange,0.2,Alien Stone Aqua Red Orange,0.2,Alien Stone Aqua Red Orange,0.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.71428571
#452,342,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Green,1.8,Alien Stone Green,1.8,Pink Light Plat,1.4,Pink Light Plat,1.4,Space Studio,59.2,11.71428571
#386,345,Alien Collection,7.4,Alien Stone Aqua Blue Ice,0.2,Alien Stone Aqua Blue Ice,0.2,Alien Stone Aqua Blue Ice,0.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.71428571
#387,344,Alien Collection,7.4,Alien Stone White Purple Green,0.2,Alien Stone White Purple Green,0.2,Alien Stone White Purple Green,0.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.71428571
#358,347,Alien Collection,7.4,Alien Stone  Black,0.2,Alien Stone  Black,0.2,Alien Stone  Black,0.2,Alien  Plat,7.4,Alien  Plat,7.4,Space Studio,59.2,11.71428571
#453,341,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Pink Light Plat,1.4,Pink Light Plat,1.4,Space Studio,59.2,11.71428571
#443,340,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Yellow Light Plat,1.2,Yellow Light Plat,1,Space Studio,59.2,11.62857143
#454,339,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Yellow,1.4,Alien Stone Yellow,1.4,Pink Light Plat,1.4,Pink Light Plat,1.4,Space Studio,59.2,11.6
#450,336,Cosmic Power ,13.6,Alien Stone Aqua,1.4,Alien Stone Red,2.2,Alien Stone Red,2.2,Aqua Light Plat,1.2,Aqua Light Plat,1.2,Space Studio,59.2,11.57142857
#389,338,Cosmic Power ,13.6,Blue Power ,0.2,Blue Power ,0.2,Blue Power ,0.2,Blue Light Plat,3.4,Blue Light Plat,4.2,Space Studio,59.2,11.57142857
#434,337,Cosmic Power ,13.6,Alien Stone Orange,1.4,Alien Stone Red,2.2,Alien Stone Red,2.2,Orange  Light Plat,1.2,Orange  Light Plat,1.2,Space Studio,59.2,11.57142857
#451,334,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stonepurple,1.2,Alien Stonepurple,1.2,Pink Light Plat,1.4,Pink Light Plat,1.4,Space Studio,59.2,11.54285714
#428,335,Cosmic Power ,13.6,Alien Stone Green,1.2,Alien Stone Red,2.2,Alien Stone Red,2.2,Green Light Plat,1.2,Green Light Plat,1.2,Space Studio,59.2,11.54285714
#432,333,Cosmic Power ,13.6,Alien Stone Orange,1.4,Alien Stone White,2,Alien Stone White,2,Orange  Light Plat,1.2,Orange  Light Plat,1.2,Space Studio,59.2,11.51428571
#437,331,Cosmic Power ,13.6,Alien Stone Brown,1.2,Alien Stone Red,2.2,Alien Stone Red,2.2,Brown Light Plat,1,Brown Light Plat,1,Space Studio,59.2,11.48571429
#429,332,Cosmic Power ,13.6,Alien Stone Green,1.2,Alien Stone White,2,Alien Stone White,2,Green Light Plat,1.2,Green Light Plat,1.2,Space Studio,59.2,11.48571429
#396,330,Cosmic Power ,13.6,Alien Stone Orange,1.4,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Orange  Light Plat,1.2,Orange  Light Plat,1.2,Space Studio,59.2,11.45714286
#447,326,Cosmic Power ,13.6,Alien Stone Aqua,1.4,Alien Stone Green,1.8,Alien Stone Green,1.8,Aqua Light Plat,1.2,Aqua Light Plat,1.2,Space Studio,59.2,11.45714286
#445,328,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stone Blue,1.2,Alien Stone Blue,1.2,Yellow Light Plat,1.2,Yellow Light Plat,1,Space Studio,59.2,11.45714286
#442,329,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stonepurple,1.2,Alien Stonepurple,1.2,Yellow Light Plat,1.2,Yellow Light Plat,1,Space Studio,59.2,11.45714286
#446,327,Cosmic Power ,13.6,Alien Stone Aqua,1.4,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Aqua Light Plat,1.2,Aqua Light Plat,1.2,Space Studio,59.2,11.45714286
#431,324,Cosmic Power ,13.6,Alien Stone Green,1.2,Alien Stone Orange,1.8,Alien Stone Orange,1.8,Green Light Plat,1.2,Green Light Plat,1.2,Space Studio,59.2,11.42857143
#393,325,Cosmic Power ,13.6,Alien Stone Green,1.2,Alien Stone Green,1.8,Alien Stone Green,1.8,Green Light Plat,1.2,Green Light Plat,1.2,Space Studio,59.2,11.42857143
#444,323,Cosmic Power ,13.6,Alien Stone Yellow,2.8,Alien Stone Aqua,1,Alien Stone Aqua,1,Yellow Light Plat,1.2,Yellow Light Plat,1,Space Studio,59.2,11.4
#438,321,Cosmic Power ,13.6,Alien Stone Brown,1.2,Alien Stone Green,1.8,Alien Stone Green,1.8,Brown Light Plat,1,Brown Light Plat,1,Space Studio,59.2,11.37142857
#411,322,Cosmic Power ,13.6,Alien Stone Pink,2.8,Alien Stone Pink,0.6,Alien Stone Pink,0.6,Pink Light Plat,1.4,Pink Light Plat,1.4,Space Studio,59.2,11.37142857
#433,320,Cosmic Power ,13.6,Alien Stone Orange,1.4,Alien Stone Yellow,1.4,Alien Stone Yellow,1.4,Orange  Light Plat,1.2,Orange  Light Plat,1.2,Space Studio,59.2,11.34285714
#449,319,Cosmic Power ,13.6,Alien Stone Aqua,1.4,Alien Stone Yellow,1.4,Alien Stone Yellow,1.4,Aqua Light Plat,1.2,Aqua Light Plat,1.2,Space Studio,59.2,11.34285714
#448,318,Cosmic Power ,13.6,Alien Stone Aqua,1.4,Alien Stonepurple,1.2,Alien Stonepurple,1.2,Aqua Light Plat,1.2,Aqua Light Plat,1.2,Space Studio,59.2,11.28571429
#400,317,Cosmic Power ,13.6,Alien Stone Aqua,1.4,Alien Stone Aqua,1,Alien Stone Aqua,1,Aqua Light Plat,1.2,Aqua Light Plat,1.2,Space Studio,59.2,11.22857143
#255,316,Lava Ring,5,Diamond White,2.2,Diamond White,0.6,Diamond Green,1.4,Lava Skin,5,Lava Skin,5,Space Studio,59.2,11.2
#394,315,Cosmic Power ,13.6,Alien Stone White,1.2,Alien Stone White,2,Alien Stone White,2,White Light Plat,0.2,White Light Plat,0.2,Space Studio,59.2,11.2
#395,314,Cosmic Power ,13.6,Alien Stone Teal,0.4,Alien Stone Teal,0.4,Alien Stone Teal,0.4,Teal Light Plat,0.2,Blue Light Plat,4.2,Space Studio,59.2,11.2
#430,312,Cosmic Power ,13.6,Alien Stone Green,1.2,Alien Stone Aqua,1,Alien Stone Aqua,1,Green Light Plat,1.2,Green Light Plat,1.2,Space Studio,59.2,11.2
#401,313,Cosmic Power ,13.6,Alien Stone Ice Blue,0.4,Alien Stone Ice Blue,0.4,Alien Stone Ice Blue,0.4,Ice Blue Light Plat,0.2,Blue Light Plat,4.2,Space Studio,59.2,11.2
#435,311,Cosmic Power ,13.6,Alien Stone Orange,1.4,Blue Lava Stone,0.8,Blue Lava Stone,0.8,Orange  Light Plat,1.2,Orange  Light Plat,1.2,Space Studio,59.2,11.17142857
#436,310,Cosmic Power ,13.6,Alien Stone Orange,1.4,Alien Stone Brown,0.6,Alien Stone Brown,0.6,Orange  Light Plat,1.2,Orange  Light Plat,1.2,Space Studio,59.2,11.11428571
#248,309,Wood Collection,4.8,Blue Lava Stone,0.6,Blue Lava Stone,0.8,Blue Lava Stone,0.8,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,11.05714286
#439,306,Cosmic Power ,13.6,Alien Stone Brown,1.2,Alien Stonelavender,0.6,Alien Stonelavender,0.6,Brown Light Plat,1,Brown Light Plat,1,Space Studio,59.2,11.02857143
#250,308,Lava Ring,5,Diamond Pink,2,Diamond Pink,0.4,Diamond Pink,0.6,Lava Skin,5,Lava Skin,5,Space Studio,59.2,11.02857143
#440,305,Cosmic Power ,13.6,Alien Stone Brown,1.2,Alien Stone Khaki,0.6,Alien Stone Khaki,0.6,Brown Light Plat,1,Brown Light Plat,1,Space Studio,59.2,11.02857143
#398,307,Cosmic Power ,13.6,Alien Stone Brown,1.2,Alien Stone Brown,0.6,Alien Stone Brown,0.6,Brown Light Plat,1,Brown Light Plat,1,Space Studio,59.2,11.02857143
#284,292,Turtle Collection,5.6,Color Lava Stone Brown,0.2,Color Lava Stone Brown,0.2,Color Lava Stone Brown,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#296,280,Turtle Collection,5.6,Color Lava Stone Mauve,0.2,Color Lava Stone Mauve,0.2,Color Lava Stone Mauve,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#276,300,Turtle Collection,5.6,Color Lava Stone Red,0.2,Color Lava Stone Red,0.2,Color Lava Stone Red,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#300,276,Turtle Collection,5.6,Color Lava Stone Black Green,0.2,Color Lava Stone Black Green,0.2,Color Lava Stone Black Green,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#283,293,Turtle Collection,5.6,Color Lava Stone Leaf Green,0.2,Color Lava Stone Leaf Green,0.2,Color Lava Stone Leaf Green,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#292,284,Turtle Collection,5.6,Color Lava Stone Khaki,0.2,Color Lava Stone Khaki,0.2,Color Lava Stone Khaki,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#285,291,Turtle Collection,5.6,Color Lava Stone Purple,0.2,Color Lava Stone Purple,0.2,Color Lava Stone Purple,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#301,275,Turtle Collection,5.6,Color Lava Stone Yellow Blood,0.2,Color Lava Stone Yellow Blood,0.2,Color Lava Stone Yellow Blood,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#279,297,Turtle Collection,5.6,Color Lava Stone  White,0.2,Color Lava Stone  White,0.2,Color Lava Stone  White,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#287,289,Turtle Collection,5.6,Color Lava Stone Ice Blue,0.2,Color Lava Stone Ice Blue,0.2,Color Lava Stone Ice Blue,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#291,285,Turtle Collection,5.6,Color Lava Stone Peach,0.2,Color Lava Stone Peach,0.2,Color Lava Stone Peach,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#293,283,Turtle Collection,5.6,Color Lava Stone Umber,0.2,Color Lava Stone Umber,0.2,Color Lava Stone Umber,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#262,303,Lava Ring,5,Diamond Aqua,1.6,Diamond Aqua,0.6,Diamond Aqua,0.6,Lava Skin,5,Lava Skin,5,Space Studio,59.2,11
#299,277,Turtle Collection,5.6,Color Lava Stone Dark Mix Green,0.2,Color Lava Stone Dark Mix Green,0.2,Color Lava Stone Dark Mix Green,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#298,278,Turtle Collection,5.6,Color Lava Stone Mauve White,0.2,Color Lava Stone Mauve White,0.2,Color Lava Stone Mauve White,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#290,286,Turtle Collection,5.6,Color Lava Stone Rosewood,0.2,Color Lava Stone Rosewood,0.2,Color Lava Stone Rosewood,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#277,299,Turtle Collection,5.6,Color Lava Stone Blue,0.2,Color Lava Stone Blue,0.2,Color Lava Stone Blue,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#295,281,Turtle Collection,5.6,Color Lava Stone Lemon,0.2,Color Lava Stone Lemon,0.2,Color Lava Stone Lemon,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#254,304,Lava Ring,5,Diamond Green,0.4,Diamond Green,1,Diamond Green,1.4,Lava Skin,5,Lava Skin,5,Space Studio,59.2,11
#294,282,Turtle Collection,5.6,Color Lava Stone Lavender,0.2,Color Lava Stone Lavender,0.2,Color Lava Stone Lavender,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#289,287,Turtle Collection,5.6,Color Lava Stone Putty,0.2,Color Lava Stone Putty,0.2,Color Lava Stone Putty,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#286,290,Turtle Collection,5.6,Color Lava Stone Aqua,0.2,Color Lava Stone Aqua,0.2,Color Lava Stone Aqua,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#274,302,Turtle Collection,5.6,Lava Stone!,0.2,Lava Stone!,0.2,Lava Stone!,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#288,288,Turtle Collection,5.6,Color Lava Stone Jade,0.2,Color Lava Stone Jade,0.2,Color Lava Stone Jade,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#297,279,Turtle Collection,5.6,Color Lava Stone Pink,0.2,Color Lava Stone Pink,0.2,Color Lava Stone Pink,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#275,301,Turtle Collection,5.6,Color Lava Stone Yellow,0.2,Color Lava Stone Yellow,0.2,Color Lava Stone Yellow,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#280,296,Turtle Collection,5.6,Color Lava Stone  Black,0.2,Color Lava Stone  Black,0.2,Color Lava Stone  Black,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#278,298,Turtle Collection,5.6,Color Lava Stone Green,0.2,Color Lava Stone Green,0.2,Color Lava Stone Green,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#282,294,Turtle Collection,5.6,Color Lava Stone Orange,0.2,Color Lava Stone Orange,0.2,Color Lava Stone Orange,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#281,295,Turtle Collection,5.6,Color Lava Stone Teal,0.2,Color Lava Stone Teal,0.2,Color Lava Stone Teal,0.2,Turtle Skin,5.8,Turtle Skin,5.8,Space Studio,59.2,11
#251,274,Lava Ring,5,Diamond Yellow,1.4,Diamond Yellow,0.6,Diamond Yellow,0.6,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.97142857
#397,273,Cosmic Power ,13.6,Alien Stone Leaf Green,0.4,Alien Stone Leaf Green,0.6,Alien Stone Leaf Green,0.6,Green Light Plat,1.2,Green Light Plat,1.2,Space Studio,59.2,10.97142857
#259,272,Lava Ring,5,Diamond Leaf Green,0.4,Diamond Leaf Green,1,Diamond Leaf Green,1,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.94285714
#270,271,Lava Ring,5,Diamond Lavender,0.4,Diamond Lavender,1,Diamond Lavender,1,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.94285714
#253,269,Lava Ring,5,Diamond Blue,0.4,Diamond Blue,0.8,Diamond Blue,0.8,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.88571429
#271,265,Lava Ring,5,Diamond Lemon,0.4,Diamond Lemon,0.8,Diamond Lemon,0.8,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.88571429
#249,270,Lava Ring,5,Lava Stone,0.6,Lava Stone,0.6,Lava Stone,0.8,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.88571429
#266,267,Lava Ring,5,Diamond Rosewood,0.4,Diamond Rosewood,0.8,Diamond Rosewood,0.8,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.88571429
#256,268,Lava Ring,5,Diamond Black,0.4,Diamond Black,0.8,Diamond Black,0.8,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.88571429
#267,266,Lava Ring,5,Diamond Peach,0.4,Diamond Peach,0.8,Diamond Peach,0.8,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.88571429
#272,263,Lava Ring,5,Diamond Mauve,0.2,Diamond Lemon,0.8,Diamond Lemon,0.8,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.85714286
#252,264,Lava Ring,5,Diamond Red,0.4,Diamond Red,0.8,Diamond Red,0.6,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.85714286
#399,262,Cosmic Power ,13.6,Alien Stonepurple,0.4,Alien Stonepurple,1.2,Alien Stonepurple,1.2,Purple Light Plat,0.2,Purple Light Plat,0.2,Space Studio,59.2,10.85714286
#229,257,Wood Collection,4.8,Mineral Stone Diamond Green,0.2,Mineral Stone Diamond Green,0.2,Mineral Stone Diamond Green,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#242,244,Wood Collection,4.8,Mineral Stone Diamond Peach,0.2,Mineral Stone Diamond Peach,0.2,Mineral Stone Diamond Peach,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#226,260,Wood Collection,4.8,Mineral Stone Diamond Yellow,0.2,Mineral Stone Diamond Yellow,0.2,Mineral Stone Diamond Yellow,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#257,238,Lava Ring,5,Diamond Teal,0.4,Diamond Teal,0.6,Diamond Teal,0.6,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.82857143
#235,251,Wood Collection,4.8,Mineral Stone Diamond Brown,0.2,Mineral Stone Diamond Brown,0.2,Mineral Stone Diamond Brown,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#247,239,Wood Collection,4.8,Mineral Stone Diamond Mauve,0.2,Mineral Stone Diamond Mauve,0.2,Mineral Stone Diamond Mauve,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#244,242,Wood Collection,4.8,Mineral Stone Diamond Umber,0.2,Mineral Stone Diamond Umber,0.2,Mineral Stone Diamond Umber,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#231,255,Wood Collection,4.8,Mineral Stone Diamond Black,0.2,Mineral Stone Diamond Black,0.2,Mineral Stone Diamond Black,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#234,252,Wood Collection,4.8,Mineral Stone Diamond Leaf Green,0.2,Mineral Stone Diamond Leaf Green,0.2,Mineral Stone Diamond Leaf Green,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#243,243,Wood Collection,4.8,Mineral Stone Diamond Khaki,0.2,Mineral Stone Diamond Khaki,0.2,Mineral Stone Diamond Khaki,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#241,245,Wood Collection,4.8,Mineral Stone Diamond Rosewood,0.2,Mineral Stone Diamond Rosewood,0.2,Mineral Stone Diamond Rosewood,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#238,248,Wood Collection,4.8,Mineral Stone Diamond Ice Blue,0.2,Mineral Stone Diamond Ice Blue,0.2,Mineral Stone Diamond Ice Blue,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#240,246,Wood Collection,4.8,Mineral Stone Diamond Putty,0.2,Mineral Stone Diamond Putty,0.2,Mineral Stone Diamond Putty,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#269,237,Lava Ring,5,Diamond Umber,0.4,Diamond Umber,0.6,Diamond Umber,0.6,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.82857143
#225,261,Wood Collection,4.8,Mineral Stone Pink,0.2,Mineral Stone Pink,0.2,Mineral Stone Pink,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#236,250,Wood Collection,4.8,Mineral Stone Diamond Dark Purple,0.2,Mineral Stone Diamond Dark Purple,0.2,Mineral Stone Diamond Dark Purple,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#233,253,Wood Collection,4.8,Mineral Stone Diamond Orange,0.2,Mineral Stone Diamond Orange,0.2,Mineral Stone Diamond Orange,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#230,256,Wood Collection,4.8,Mineral Stone Diamond White,0.2,Mineral Stone Diamond White,0.2,Mineral Stone Diamond White,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#228,258,Wood Collection,4.8,Mineral Stone Diamond Blue,0.2,Mineral Stone Diamond Blue,0.2,Mineral Stone Diamond Blue,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#246,240,Wood Collection,4.8,Mineral Stone Diamond Lemon,0.2,Mineral Stone Diamond Lemon,0.2,Mineral Stone Diamond Lemon,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#245,241,Wood Collection,4.8,Mineral Stone Diamond Lavender,0.2,Mineral Stone Diamond Lavender,0.2,Mineral Stone Diamond Lavender,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#232,254,Wood Collection,4.8,Mineral Stone Diamond Teal,0.2,Mineral Stone Diamond Teal,0.2,Mineral Stone Diamond Teal,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#237,249,Wood Collection,4.8,Mineral Stone Diamond Aqua,0.2,Mineral Stone Diamond Aqua,0.2,Mineral Stone Diamond Aqua,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#239,247,Wood Collection,4.8,Mineral Stone Diamond Jade,0.2,Mineral Stone Diamond Jade,0.2,Mineral Stone Diamond Jade,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#227,259,Wood Collection,4.8,Mineral Stone Diamond Red,0.2,Mineral Stone Diamond Red,0.2,Mineral Stone Diamond Red,0.2,Original Wood,5.6,Original Wood,5.6,Space Studio,59.2,10.82857143
#268,233,Lava Ring,5,Diamond Khaki,0.4,Diamond Khaki,0.4,Diamond Khaki,0.4,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.77142857
#263,235,Lava Ring,5,Diamond Ice Blue,0.4,Diamond Ice Blue,0.4,Diamond Ice Blue,0.4,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.77142857
#258,236,Lava Ring,5,Diamond Orange,0.4,Diamond Orange,0.4,Diamond Orange,0.4,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.77142857
#412,232,Cosmic Power ,13.6,Blue Lava Stone,0.6,Blue Lava Stone,0.8,Blue Lava Stone,0.8,Blue Lava Light Plat,0.2,Blue Lava Light Plat,0.2,Space Studio,59.2,10.77142857
#264,234,Lava Ring,5,Diamond Jade,0.4,Diamond Jade,0.4,Diamond Jade,0.4,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.77142857
#261,230,Lava Ring,5,Diamond Dark Purple,0.2,Diamond Dark Purple,0.2,Diamond Dark Purple,0.2,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.68571429
#273,228,Lava Ring,5,Thunder Stone,0.2,Thunder Stone,0.2,Thunder Stone,0.2,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.68571429
#408,226,Cosmic Power ,13.6,Alien Stonelavender,0.4,Alien Stonelavender,0.6,Alien Stonelavender,0.6,Lavender Light Plat,0.2,Lavender Light Plat,0.2,Space Studio,59.2,10.68571429
#260,231,Lava Ring,5,Diamond Brown,0.2,Diamond Brown,0.2,Diamond Brown,0.2,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.68571429
#265,229,Lava Ring,5,Diamond Putty,0.2,Diamond Putty,0.2,Diamond Putty,0.2,Lava Skin,5,Lava Skin,5,Space Studio,59.2,10.68571429
#406,227,Cosmic Power ,13.6,Alien Stone Khaki,0.4,Alien Stone Khaki,0.6,Alien Stone Khaki,0.6,Khakilight Plat,0.2,Khakilight Plat,0.2,Space Studio,59.2,10.68571429
#409,220,Cosmic Power ,13.6,Alien Stone Lemon,0.4,Alien Stone Lemon,0.4,Alien Stone Lemon,0.4,Lemon Light Plat,0.2,Lemon Light Plat,0.2,Space Studio,59.2,10.62857143
#405,222,Cosmic Power ,13.6,Alien Stonepeach,0.4,Alien Stonepeach,0.4,Alien Stonepeach,0.4,Peach Light Plat,0.2,Peach Light Plat,0.2,Space Studio,59.2,10.62857143
#407,221,Cosmic Power ,13.6,Alien Stoneumber,0.4,Alien Stoneumber,0.4,Alien Stoneumber,0.4,Umber Light Plat,0.2,Umber Light Plat,0.2,Space Studio,59.2,10.62857143
#404,223,Cosmic Power ,13.6,Alien Stone Rosewood,0.4,Alien Stone Rosewood,0.4,Alien Stone Rosewood,0.4,Rosewood Light Plat,0.2,Rosewood Light Plat,0.2,Space Studio,59.2,10.62857143
#410,219,Cosmic Power ,13.6,Alien Stone Mauve,0.4,Alien Stone Mauve,0.4,Alien Stone Mauve,0.4,Mauve Light Plat,0.2,Mauve Light Plat,0.2,Space Studio,59.2,10.62857143
#402,225,Cosmic Power ,13.6,Alien Stonejade,0.4,Alien Stonejade,0.4,Alien Stonejade,0.4,Jade  Light Plat,0.2,Jade  Light Plat,0.2,Space Studio,59.2,10.62857143
#403,224,Cosmic Power ,13.6,Alien Stone Putty,0.4,Alien Stone Putty,0.4,Alien Stone Putty,0.4,Putty Light Plat,0.2,Putty Light Plat,0.2,Space Studio,59.2,10.62857143
#464,218,Hologram Rings Collection,2.8,Hologram Green,0.6,Hologram Green,1.4,Hologram Green,1.4,Hologram Blue,1.4,Hologram Blue,1.4,Space Studio,59.2,9.74285714
#460,217,Hologram Rings Collection,2.8,Hologram Green,0.6,Hologram Green,1.4,Hologram Green,1.4,Hologram Green,0.6,Hologram Green,0.6,Space Studio,59.2,9.51428571
#469,216,Hologram Rings Collection,2.8,Hologram Red,0.6,Hologram Green,1.4,Hologram Green,1.4,Hologram Green,0.6,Hologram Green,0.6,Space Studio,59.2,9.51428571
#468,215,Hologram Rings Collection,2.8,Hologram Blue,0.4,Hologram Green,1.4,Hologram Green,1.4,Hologram Green,0.6,Hologram Green,0.6,Space Studio,59.2,9.48571429
#465,213,Hologram Rings Collection,2.8,Hologram Red,0.6,Hologram Red,0.4,Hologram Red,0.4,Hologram Blue,1.4,Hologram Blue,1.4,Space Studio,59.2,9.45714286
#463,214,Hologram Rings Collection,2.8,Hologram Yellow,0.4,Hologram Yellow,0.6,Hologram Yellow,0.4,Hologram Blue,1.4,Hologram Blue,1.4,Space Studio,59.2,9.45714286
#466,211,Hologram Rings Collection,2.8,Hologram Orange,0.4,Hologram Orange,0.4,Hologram Orange,0.4,Hologram Blue,1.4,Hologram Blue,1.4,Space Studio,59.2,9.42857143
